timestamp,username,status,detail
2026-08-03T20:05:54,bilal_nadeem9999,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:00,bilal_umar1,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:06:03,bilalburki_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:05,bilalkhokhar296,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:08,bilalnasir75,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:14,bilalnasirr,following_not_visible,Could not find a visible Following button.
2026-08-03T20:06:17,bilalsiddiqui_89,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:22,biryanimeinelaichi_,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:29,bismahkh4n,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:06:31,bismakhann0,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:34,bismeneha00,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:36,bit._.crazyyy,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:38,bkonlyy__,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:41,bkr_bakers,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:43,blogs_with_fatima67,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:46,blogsbyareebaa,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:49,blogsbyasrn,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:52,bn643747,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:06:55,bo7sain5050,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:01,bodrul.islam23,following_not_visible,Could not find a visible Following button.
2026-08-03T20:07:04,bonalisa__,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:11,bottomkarachi_,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:07:14,brandthrifts2024,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:17,bravoroger261,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:20,brownziex,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:23,brutal_foodie,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:26,bts51491,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:29,btw__asad,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:32,btw_itsfaizi.02,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:38,btw_mir1,not_found,Instagram reported that this profile is unavailable.
2026-08-03T20:07:41,btw_urwaazz,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:44,bubufaisal,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:47,bunnytales.81,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:50,burhan_98,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:53,burhan_uddin_124,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:55,burhanakbar._,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:07:58,bushra.sethiii,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:01,butibuychhotabhai,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:05,butterfly.1.12,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:07,bxbydoll__.786,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:10,bxneey_02,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:12,by.fatimakhaan,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:15,by.hamzasheikh,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:17,by.hudakhan,unfollowed,Unfollow confirmation clicked.
2026-08-03T20:08:21,by.laylak,unfollowed,Unfollow confirmation clicked.
